Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Rickie Fowler,74.0,65.0,2018,297.0,69.0,28.5,63.0,69.0,"1,302",0.0,4.0,0.2,1.2,0.2,0.4,0.2,4235237.0
Xinjun Zhang,81.0,65.0,2018,297.0,67.0,29.5,58.0,71.0,195,0.0,None,-0.6,-0.8,-0.0,-0.4,-0.2,420377.0
Kiradech Aphibarnrat,51.0,65.0,2018,292.0,62.0,28.5,55.5,70.5,None,0.0,None,-0.0,0.4,0.4,-0.4,-0.0,0.0
Pat Perez,82.0,65.0,2018,287.0,67.0,29.0,55.5,70.5,"1,116",1.0,4.0,-0.0,-0.2,-0.2,-0.2,-0.0,2962641.0
Lucas Glover,65.0,65.0,2018,297.0,67.0,29.5,59.5,71.0,324,0.0,None,-0.2,0.2,0.4,-0.2,-0.2,789382.0
Richy Werenski,98.0,65.0,2018,287.0,66.0,29.0,56.0,71.0,498,0.0,2.0,-0.2,-0.2,-0.0,-0.2,-0.0,1081283.0
Hunter Mahan,67.0,65.0,2018,292.0,68.0,29.0,58.5,71.0,234,0.0,None,0.2,0.2,0.4,-0.2,-0.6,457337.0
Francesco Molinari,73.0,65.0,2018,297.0,70.0,29.5,58.5,69.5,"1,682",2.0,4.0,-0.6,1.0,0.6,0.4,0.2,5065842.0
Fabián Gómez,88.0,62.0,2018,287.0,67.0,29.0,58.5,71.0,221,0.0,None,-0.0,-0.2,-0.2,-0.2,-0.2,437032.0
Tommy Fleetwood,73.0,62.0,2018,302.0,69.0,29.0,55.5,69.0,"1,130",0.0,5.0,0.2,1.6,0.4,0.4,0.2,3935147.0
Graeme McDowell,67.0,62.0,2018,292.0,64.0,29.0,59.5,71.0,274,0.0,None,0.4,0.6,-0.0,-0.0,-0.0,581024.0
Louis Oosthuizen,62.0,62.0,2018,297.0,65.0,29.0,64.0,70.0,620,0.0,3.0,-0.2,0.4,0.4,-0.4,0.4,1731493.0
Chad Campbell,87.0,62.0,2018,282.0,65.0,29.5,59.0,71.5,361,0.0,2.0,-0.6,-0.6,-0.2,-0.2,-0.0,801960.0
Blayne Barber,69.0,62.0,2018,292.0,69.0,29.5,57.0,70.5,202,0.0,None,-0.2,-0.2,-0.0,-0.2,-0.2,398137.0
Michael Thompson,62.0,62.0,2018,292.0,70.0,29.5,55.5,70.5,280,0.0,None,0.4,0.0,-0.2,-0.6,-0.0,563972.0
Chris Kirk,108.0,62.0,2018,287.0,68.0,28.5,63.5,70.0,756,0.0,4.0,-0.0,0.6,-0.2,0.4,-0.0,1824111.0
Daniel Berger,81.0,62.0,2018,297.0,66.0,29.0,58.5,70.0,565,0.0,None,0.2,0.8,-0.0,0.4,-0.2,1721763.0
Hudson Swafford,73.0,62.0,2018,302.0,68.0,30.0,54.0,71.5,245,0.0,None,-0.4,-0.6,0.2,-0.4,-0.4,569391.0
Bronson Burgoon,69.0,62.0,2018,302.0,68.0,29.5,55.5,70.5,446,0.0,2.0,-0.0,0.4,0.2,0.2,-0.4,1179616.0
Brice Garnett,99.0,62.0,2018,292.0,66.0,29.0,58.5,71.0,634,1.0,2.0,-0.2,-0.4,-0.0,-0.2,-0.4,1466224.0
Ryan Blaum,81.0,62.0,2018,287.0,66.0,29.0,55.0,70.5,433,0.0,2.0,-0.0,-0.2,-0.0,-0.2,-0.0,980877.0
Johnson Wagner,75.0,62.0,2018,282.0,67.0,28.5,65.0,70.5,338,0.0,None,0.6,0.6,-0.4,-0.0,0.2,656322.0
Kevin Na,91.0,62.0,2018,287.0,64.0,28.0,63.5,70.0,"1,183",1.0,4.0,0.4,0.8,-0.4,0.2,0.2,3578316.0
Zach Johnson,94.0,62.0,2018,287.0,67.0,28.5,62.0,69.5,839,0.0,2.0,0.2,1.0,-0.2,0.4,0.4,1957635.0
John Huh,94.0,62.0,2018,287.0,65.0,28.5,57.5,70.5,480,0.0,2.0,-0.0,0.2,-0.2,0.2,-0.2,974538.0
James Hahn,85.0,62.0,2018,297.0,68.0,29.5,59.5,70.5,596,0.0,None,-0.2,0.2,0.2,-0.0,-0.0,1386301.0
Rod Pampling,62.0,62.0,2018,287.0,62.0,29.0,56.5,72.0,64,0.0,None,-0.6,-1.2,-0.2,-0.6,-0.2,183806.0
Gary Woodland,96.0,62.0,2018,312.0,70.0,29.5,54.0,70.0,"1,044",1.0,3.0,-0.0,1.0,0.8,0.4,-0.4,3108907.0
Cameron Percy,56.0,62.0,2018,292.0,69.0,29.0,57.0,70.5,191,0.0,2.0,-0.4,0.2,0.2,-0.0,0.2,387612.0
Abraham Ancer,98.0,62.0,2018,292.0,66.0,28.5,62.5,70.5,589,0.0,4.0,-0.2,0.2,0.2,-0.0,-0.2,1676695.0
Ben Martin,64.0,62.0,2018,287.0,63.0,28.5,58.5,70.5,266,0.0,None,-0.0,-0.2,-0.2,-0.0,-0.2,532936.0
Branden Grace,67.0,62.0,2018,297.0,67.0,29.0,57.5,70.0,590,0.0,2.0,0.2,0.8,-0.0,-0.0,-0.0,1529289.0
Denny McCarthy,71.0,62.0,2018,292.0,68.0,29.0,59.5,70.5,267,0.0,None,0.4,0.0,-0.0,-0.4,-0.2,498341.0
Aaron Wise,90.0,62.0,2018,302.0,68.0,29.0,56.0,70.0,"1,086",1.0,3.0,0.2,0.6,0.4,-0.0,-0.0,3486407.0
Jason Dufner,71.0,62.0,2018,297.0,64.0,29.5,58.0,71.0,557,0.0,2.0,-0.2,0.0,0.2,-0.2,-0.2,1497655.0
Matt Kuchar,88.0,62.0,2018,287.0,66.0,28.5,63.5,70.0,679,0.0,4.0,0.2,0.4,-0.2,0.2,0.2,1720097.0
Martin Laird,73.0,62.0,2018,297.0,65.0,28.5,59.0,70.5,443,0.0,3.0,0.2,0.4,-0.2,-0.0,0.2,1017580.0
Roberto Díaz,72.0,62.0,2018,282.0,63.0,29.0,58.5,71.5,107,0.0,None,-0.0,-1.0,-0.2,-0.6,-0.4,235635.0
Paul Casey,74.0,62.0,2018,302.0,67.0,29.0,60.5,69.5,"1,319",1.0,5.0,-0.0,0.8,-0.0,0.4,-0.0,3641771.0
Corey Conners,97.0,62.0,2018,302.0,70.0,29.5,57.5,70.5,353,0.0,None,-0.4,0.0,0.4,0.2,-0.2,728296.0
Kyle Thompson,50.0,62.0,2018,282.0,62.0,29.5,54.0,72.5,10,0.0,None,-0.8,-1.4,-0.6,-0.0,-0.2,24878.0
