Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Jim Furyk,71.0,68.0,2015,277.0,69.0,29.0,62.5,69.5,"1,401",1.0,6.0,-0.2,1.6,-0.0,1.0,0.4,3732664.0
Willy Wilcox,58.0,68.0,2015,292.0,72.0,29.0,62.5,69.5,649,0.0,4.0,0.2,1.0,0.6,-0.0,-0.0,1168302.0
Nicholas Thompson,90.0,68.0,2015,282.0,68.0,29.5,52.0,71.0,442,0.0,None,-0.6,-0.8,0.2,-0.2,-0.6,667185.0
Kevin Streelman,95.0,68.0,2015,287.0,68.0,29.5,58.5,71.0,771,0.0,2.0,-0.4,0.0,0.4,-0.0,-0.4,1525774.0
Cameron Tringale,96.0,68.0,2015,277.0,64.0,29.0,62.0,70.5,816,0.0,2.0,-0.0,0.2,-0.2,-0.2,0.2,1837164.0
John Merrick,78.0,68.0,2015,282.0,67.0,29.5,57.0,71.0,311,0.0,None,-0.8,-0.4,-0.0,0.2,-0.0,391513.0
Zac Blair,108.0,65.0,2015,272.0,65.0,28.5,64.5,70.5,538,0.0,None,0.4,0.0,-0.4,-0.2,-0.0,1244676.0
Ken Duke,93.0,65.0,2015,277.0,64.0,29.0,58.5,71.0,493,0.0,3.0,-0.4,-0.4,-0.0,-0.0,-0.4,817675.0
William McGirt,103.0,65.0,2015,277.0,67.0,28.5,64.0,70.5,652,0.0,None,-0.0,0.4,-0.0,-0.0,0.2,1004696.0
Webb Simpson,81.0,65.0,2015,287.0,67.0,29.0,64.0,70.0,953,0.0,5.0,-0.8,0.6,0.2,0.4,0.4,2046260.0
Jason Dufner,76.0,65.0,2015,282.0,69.0,29.5,55.0,70.5,546,0.0,2.0,-0.8,0.2,0.2,0.2,0.2,1007997.0
Russell Knox,96.0,65.0,2015,282.0,70.0,29.5,59.5,70.0,914,0.0,3.0,-0.2,0.8,-0.0,0.6,-0.0,1916666.0
Brian Davis,86.0,65.0,2015,272.0,62.0,28.5,60.5,71.5,387,0.0,2.0,-0.0,-0.6,-0.2,-0.6,-0.0,656534.0
John Peterson,84.0,65.0,2015,287.0,68.0,29.0,63.0,70.5,588,0.0,None,-0.2,0.2,0.2,0.2,-0.2,779509.0
Ben Crane,62.0,65.0,2015,267.0,63.0,28.5,61.5,71.5,182,0.0,None,0.2,-0.6,-0.4,-0.6,-0.0,203254.0
Jon Curran,83.0,65.0,2015,272.0,66.0,29.0,61.5,70.5,540,0.0,5.0,-0.2,-0.2,-0.6,-0.0,0.2,1049549.0
Jim Herman,88.0,65.0,2015,292.0,None,30.0,58.0,70.5,610,0.0,2.0,-0.2,0.2,0.4,0.2,-0.4,1212778.0
Kevin Kisner,104.0,65.0,2015,287.0,66.0,28.5,62.5,70.0,"1,416",0.0,6.0,0.2,0.6,0.2,-0.0,-0.2,3567939.0
Bryce Molder,91.0,65.0,2015,277.0,65.0,28.5,62.5,70.5,595,0.0,2.0,0.4,0.0,-0.4,-0.2,-0.0,1165547.0
Jason Gore,76.0,65.0,2015,287.0,67.0,29.0,54.5,71.0,564,0.0,2.0,-0.2,0.0,0.2,0.2,-0.4,1101246.0
John Senden,80.0,65.0,2015,287.0,67.0,29.5,55.0,71.0,610,0.0,3.0,-0.2,0.0,0.2,-0.2,-0.2,1422033.0
Mark Hubbard,79.0,65.0,2015,277.0,66.0,29.0,61.5,71.0,274,0.0,None,-0.2,-0.4,-0.2,-0.4,-0.0,293980.0
Billy Hurley III,83.0,65.0,2015,267.0,65.0,28.5,64.0,71.0,420,0.0,None,0.2,-0.2,-0.8,-0.0,-0.0,591450.0
Roberto Castro,54.0,65.0,2015,277.0,66.0,29.5,54.0,71.0,167,0.0,None,-0.8,-0.2,-0.0,0.2,-0.0,179723.0
Chad Campbell,97.0,65.0,2015,282.0,68.0,29.0,59.0,70.5,670,0.0,2.0,-0.2,0.4,-0.0,-0.0,-0.0,1015707.0
Sung Joon Park,79.0,65.0,2015,282.0,64.0,29.0,64.0,71.0,426,0.0,None,-0.6,-0.6,-0.0,-0.4,-0.0,597103.0
Pat Perez,96.0,65.0,2015,282.0,67.0,28.5,60.0,70.5,825,0.0,2.0,0.2,0.4,-0.2,-0.0,-0.0,1588664.0
Brendon de Jonge,106.0,65.0,2015,282.0,67.0,29.0,59.0,70.5,892,0.0,3.0,-0.2,0.2,0.2,-0.0,-0.2,1594935.0
Jonathan Byrd,69.0,65.0,2015,287.0,67.0,28.5,64.5,70.5,335,0.0,None,-0.0,0.2,-0.2,-0.4,0.4,446732.0
David Lingmerth,90.0,65.0,2015,287.0,64.0,28.5,61.0,70.5,"1,305",1.0,4.0,-0.0,0.4,0.2,-0.0,-0.2,2736378.0
Graham DeLaet,65.0,65.0,2015,297.0,69.0,29.0,57.0,70.5,545,0.0,3.0,-0.2,0.2,-0.0,0.2,-0.2,988349.0
Adam Hadwin,95.0,65.0,2015,287.0,66.0,29.0,58.0,71.0,584,0.0,3.0,0.2,0.0,-0.0,-0.2,-0.0,937611.0
Hideki Matsuyama,95.0,65.0,2015,292.0,69.0,28.5,61.5,69.5,"1,374",0.0,8.0,-0.0,1.4,0.4,0.6,0.2,3758619.0
Ben Martin,93.0,65.0,2015,287.0,68.0,29.5,54.0,70.5,"1,217",1.0,5.0,-0.0,0.2,-0.2,0.2,-0.2,2717305.0
Davis Love III,51.0,62.0,2015,292.0,67.0,29.5,57.0,71.0,649,1.0,2.0,-0.4,-0.4,-0.0,-0.4,-0.0,1263596.0
Keegan Bradley,87.0,62.0,2015,302.0,67.0,29.0,58.0,70.0,759,0.0,3.0,-0.2,1.0,0.4,0.2,0.2,1565079.0
Mark Wilson,89.0,62.0,2015,277.0,67.0,29.0,60.0,70.5,497,0.0,3.0,-0.2,0.0,-0.4,-0.0,0.2,851845.0
Russell Henley,87.0,62.0,2015,297.0,67.0,29.0,57.0,70.5,986,0.0,4.0,0.4,0.4,0.2,-0.4,-0.2,2110774.0
Brian Harman,90.0,62.0,2015,287.0,66.0,29.0,59.5,70.5,704,0.0,3.0,0.2,0.4,0.2,-0.2,-0.0,1548352.0
Derek Ernst,75.0,62.0,2015,292.0,66.0,29.5,57.0,71.0,250,0.0,None,-0.6,-0.6,0.6,-0.6,-0.2,320095.0
Chris Stroud,84.0,62.0,2015,282.0,65.0,28.5,59.5,71.0,531,0.0,2.0,-0.2,0.0,-0.4,-0.0,0.2,746814.0
Paul Casey,87.0,62.0,2015,297.0,72.0,29.5,56.0,69.5,"1,389",0.0,7.0,-0.0,1.2,0.2,0.8,-0.2,3488311.0
David Hearn,97.0,62.0,2015,277.0,67.0,28.5,57.0,70.5,890,0.0,4.0,0.2,0.2,-0.4,0.2,-0.2,1817043.0
George McNeill,93.0,62.0,2015,282.0,66.0,29.0,61.0,70.0,715,0.0,None,0.2,0.4,-0.4,0.6,-0.2,1331768.0
K.J. Choi,66.0,62.0,2015,272.0,63.0,28.5,63.0,71.0,358,0.0,None,0.4,0.2,-0.6,-0.0,0.2,448864.0
Sam Saunders,83.0,62.0,2015,292.0,65.0,29.0,57.5,71.5,413,0.0,None,-0.2,-0.6,0.2,-0.4,-0.4,578571.0
Danny Lee,120.0,62.0,2015,282.0,65.0,28.0,60.5,70.0,"1,561",1.0,7.0,0.2,0.6,-0.4,0.6,-0.2,3965933.0
Justin Rose,69.0,62.0,2015,302.0,70.0,29.0,59.0,69.5,"1,742",1.0,7.0,-0.0,1.4,0.4,0.6,0.2,5462677.0
Kevin Chappell,86.0,62.0,2015,292.0,66.0,28.5,59.0,70.5,602,0.0,2.0,-0.0,0.2,-0.0,-0.2,-0.0,1281552.0
Chad Collins,79.0,62.0,2015,277.0,66.0,28.5,66.0,70.5,504,0.0,None,-0.0,0.2,-0.4,0.2,0.2,747899.0
Lucas Glover,79.0,62.0,2015,292.0,70.0,30.5,55.0,71.0,375,0.0,None,-1.4,-0.2,0.4,0.6,-0.2,515241.0
Alex Cejka,94.0,62.0,2015,282.0,65.0,28.5,60.0,71.0,739,1.0,None,-0.4,-0.4,-0.4,-0.0,-0.0,1227196.0
Billy Horschel,99.0,62.0,2015,292.0,69.0,29.5,57.5,71.0,903,0.0,2.0,0.2,0.4,0.2,-0.0,-0.4,1735751.0
Blayne Barber,76.0,62.0,2015,287.0,66.0,28.5,59.5,71.0,380,0.0,4.0,0.2,0.0,0.2,-0.4,-0.2,768383.0
Bill Lunde,50.0,62.0,2015,287.0,68.0,30.0,57.5,71.5,117,0.0,None,-0.6,-1.4,-0.0,-0.6,-0.4,128788.0
Ian Poulter,68.0,62.0,2015,282.0,65.0,28.5,60.5,70.0,777,0.0,4.0,0.2,0.4,-0.2,0.2,-0.0,1690587.0
Bill Haas,89.0,62.0,2015,287.0,68.0,29.5,61.5,70.5,"1,281",1.0,5.0,-0.4,0.4,-0.0,0.4,-0.0,3064024.0
Hudson Swafford,97.0,62.0,2015,297.0,68.0,29.0,55.0,70.5,554,0.0,None,0.2,0.2,0.2,-0.0,-0.6,959391.0
Boo Weekley,79.0,62.0,2015,292.0,67.0,29.0,59.5,70.5,776,0.0,6.0,-0.4,0.4,0.4,-0.0,-0.0,1689914.0
Matt Kuchar,97.0,62.0,2015,287.0,66.0,28.0,63.5,70.0,"1,164",0.0,5.0,0.2,1.0,-0.0,0.2,0.4,2774170.0
Tim Wilkinson,73.0,62.0,2015,277.0,62.0,28.5,58.0,71.5,183,0.0,None,-0.4,-1.0,-0.4,-0.6,0.2,171654.0
Robert Allenby,63.0,62.0,2015,282.0,66.0,30.0,51.5,72.0,169,0.0,None,-0.8,-1.0,-0.4,0.2,-0.4,271887.0
Steve Wheatcroft,87.0,62.0,2015,287.0,64.0,28.5,60.5,71.0,536,0.0,2.0,0.2,-0.2,-0.0,-0.6,-0.2,973024.0
Jordan Spieth,91.0,62.0,2015,287.0,67.0,None,65.0,None,"4,169",4.0,None,0.4,2.0,0.4,0.6,0.4,12030465.0
Troy Merritt,91.0,62.0,2015,282.0,63.0,28.5,61.5,71.0,930,1.0,3.0,0.2,-0.2,-0.4,-0.2,-0.2,2092669.0
Scott Brown,97.0,62.0,2015,287.0,65.0,28.5,60.5,70.5,690,0.0,3.0,-0.2,0.0,0.2,-0.0,-0.2,1161750.0
Charlie Beljan,76.0,62.0,2015,307.0,65.0,29.5,48.5,72.0,369,0.0,None,-0.8,-1.0,0.4,-0.4,-0.6,782546.0
Kevin Na,98.0,62.0,2015,277.0,64.0,28.0,62.5,70.0,"1,062",0.0,6.0,0.2,0.8,-0.4,0.2,0.6,2820766.0
Greg Chalmers,58.0,62.0,2015,277.0,63.0,28.5,57.0,71.0,242,0.0,None,0.4,-0.8,-0.4,-0.8,-0.2,291016.0
Johnson Wagner,68.0,62.0,2015,287.0,68.0,29.0,59.0,70.5,551,0.0,3.0,0.2,0.0,-0.2,-0.0,-0.4,1131659.0
Rickie Fowler,76.0,62.0,2015,292.0,65.0,28.0,61.0,70.0,"1,498",1.0,5.0,0.2,1.0,-0.0,0.4,-0.0,5773430.0
Shawn Stefani,94.0,62.0,2015,292.0,68.0,29.0,56.0,70.0,987,0.0,3.0,-0.0,0.4,0.2,0.2,-0.2,1757803.0
Alex Prugh,84.0,62.0,2015,292.0,70.0,30.0,53.0,71.0,433,0.0,2.0,-0.2,-0.2,0.2,-0.2,-0.2,636373.0
Chris Kirk,76.0,59.0,2015,282.0,64.0,28.5,60.0,70.5,"1,087",1.0,3.0,-0.0,0.4,-0.2,0.2,-0.0,2369326.0
Scott Langley,94.0,59.0,2015,277.0,64.0,28.5,59.0,71.0,448,0.0,None,-0.0,0.0,-0.2,-0.0,-0.0,638182.0
Daniel Summerhays,101.0,59.0,2015,282.0,65.0,28.5,57.5,70.0,720,0.0,3.0,0.6,0.4,-0.2,-0.0,-0.2,1633957.0
Oscar Fraustro,58.0,59.0,2015,287.0,63.0,28.5,56.0,72.0,171,0.0,None,-0.4,-1.4,0.2,-0.8,-0.8,262475.0
Kyle Reifers,96.0,59.0,2015,287.0,67.0,29.0,61.0,70.5,626,0.0,2.0,-0.0,0.0,-0.0,-0.2,-0.0,1179228.0
Michael Putnam,87.0,59.0,2015,287.0,70.0,29.5,59.0,71.0,407,0.0,None,-0.6,-0.2,-0.2,0.4,-0.2,557803.0
Brice Garnett,81.0,59.0,2015,287.0,68.0,29.5,55.5,71.0,398,0.0,None,-0.2,-0.6,-0.2,-0.4,-0.0,637789.0
Brendan Steele,88.0,59.0,2015,302.0,68.0,29.0,60.0,70.0,895,0.0,4.0,-0.2,0.8,0.2,0.6,-0.0,1759484.0
Nick Watney,91.0,59.0,2015,292.0,67.0,29.0,58.5,70.5,847,0.0,3.0,-0.6,0.2,0.2,0.2,-0.0,1733873.0
Brandt Snedeker,98.0,59.0,2015,287.0,64.0,28.0,63.0,70.0,"1,537",1.0,8.0,0.4,0.6,-0.2,-0.2,0.2,3698056.0
Gonzalo Fernandez-Castaño,81.0,59.0,2015,287.0,63.0,29.0,57.5,71.5,272,0.0,None,-0.6,-0.8,-0.0,-0.6,-0.0,312053.0
Scott Pinckney,88.0,59.0,2015,287.0,67.0,29.0,55.5,71.0,645,0.0,3.0,0.2,-0.2,-0.0,-0.6,-0.2,1259389.0
Fabián Gómez,83.0,59.0,2015,282.0,63.0,28.5,58.5,71.0,797,1.0,2.0,-0.0,-0.4,-0.4,-0.2,-0.2,1651012.0
Charl Schwartzel,67.0,59.0,2015,297.0,64.0,29.5,54.5,71.0,584,0.0,3.0,-0.6,0.0,0.6,-0.2,-0.0,1209528.0
Daniel Berger,97.0,59.0,2015,302.0,68.0,29.0,60.5,70.5,899,0.0,5.0,-0.2,0.4,0.2,0.4,-0.4,3028901.0
Sean O'Hair,86.0,59.0,2015,292.0,64.0,28.0,59.0,71.0,719,0.0,2.0,-0.0,0.0,-0.0,-0.4,-0.0,1662300.0
Bo Van Pelt,81.0,59.0,2015,287.0,66.0,29.5,55.5,71.0,322,0.0,2.0,-0.0,-0.4,-0.4,-0.0,-0.2,580611.0
Adam Scott,51.0,59.0,2015,307.0,69.0,30.0,54.0,70.0,585,0.0,3.0,-0.4,0.2,0.6,-0.0,-0.2,1382365.0
Whee Kim,71.0,59.0,2015,282.0,68.0,29.0,57.5,71.0,393,0.0,2.0,-0.2,-0.2,-0.4,0.2,-0.2,755998.0
Cameron Percy,72.0,59.0,2015,287.0,67.0,29.0,56.0,71.0,361,0.0,None,-0.2,0.0,-0.0,-0.2,-0.0,575943.0
Rory Sabbatini,81.0,59.0,2015,287.0,67.0,28.5,63.0,70.0,678,0.0,4.0,-0.2,0.4,-0.0,0.2,-0.0,1525784.0
J.J. Henry,94.0,59.0,2015,292.0,69.0,30.0,54.0,71.0,620,1.0,None,-0.6,-0.4,-0.0,-0.2,-0.0,1046123.0
Jonas Blixt,78.0,59.0,2015,287.0,62.0,28.5,58.5,71.0,471,0.0,None,-0.0,-0.6,-0.2,-0.8,0.2,703664.0
Jamie Donaldson,50.0,59.0,2015,292.0,63.0,28.5,59.0,71.0,447,0.0,2.0,0.2,0.2,-0.0,-0.2,-0.0,938664.0
Vijay Singh,78.0,59.0,2015,287.0,66.0,29.0,60.5,70.5,490,0.0,None,-0.6,0.2,-0.0,0.4,0.2,752462.0
Sangmoon Bae,98.0,59.0,2015,287.0,62.0,28.5,61.0,71.0,"1,025",1.0,4.0,0.2,0.0,0.2,-0.4,-0.2,2599632.0
James Hahn,94.0,59.0,2015,292.0,66.0,29.0,58.0,70.5,"1,012",1.0,2.0,-0.0,0.2,-0.0,-0.0,-0.0,2064783.0
Louis Oosthuizen,68.0,59.0,2015,297.0,68.0,29.0,61.0,70.0,"1,088",0.0,6.0,-0.4,0.6,0.2,0.2,-0.0,3251174.0
Carlos Ortiz,100.0,59.0,2015,297.0,66.0,29.0,55.5,71.0,515,0.0,None,-0.0,0.0,0.2,-0.4,-0.2,964137.0
Matt Jones,89.0,59.0,2015,292.0,64.0,28.0,61.0,70.5,821,0.0,3.0,0.4,0.6,0.2,-0.4,0.2,1995553.0
Lee Westwood,56.0,59.0,2015,297.0,66.0,29.0,52.0,70.0,530,0.0,None,0.4,0.8,-0.0,0.2,-0.2,946628.0
Greg Owen,58.0,59.0,2015,292.0,69.0,29.5,59.5,71.5,608,0.0,2.0,-0.8,-0.4,-0.0,0.4,-0.0,1180794.0
Geoff Ogilvy,50.0,59.0,2015,292.0,66.0,30.0,51.5,71.5,350,0.0,None,-0.8,-0.6,-0.0,-0.0,-0.0,653925.0
Sergio Garcia,59.0,59.0,2015,297.0,67.0,28.5,58.0,69.5,"1,051",0.0,4.0,-0.2,1.0,0.4,0.4,-0.0,2670229.0
Robert Streb,110.0,59.0,2015,297.0,69.0,29.0,59.5,70.0,"1,720",1.0,9.0,0.2,1.0,0.2,-0.0,0.2,3947424.0
Roger Sloan,56.0,59.0,2015,292.0,63.0,29.0,53.5,72.5,103,0.0,None,-0.6,-1.8,-0.2,-0.8,-0.2,133048.0
Andrew Svoboda,80.0,59.0,2015,287.0,63.0,29.5,51.0,72.0,266,0.0,None,-0.2,-1.2,-0.2,-0.6,-0.6,418963.0
Erik Compton,86.0,59.0,2015,287.0,63.0,28.0,60.5,71.0,471,0.0,None,0.4,0.0,-0.4,-0.4,-0.0,676602.0
Scott Piercy,90.0,59.0,2015,292.0,66.0,28.5,58.5,70.5,"1,127",1.0,4.0,-0.0,0.2,0.2,0.2,-0.2,2780027.0
Luke Donald,71.0,59.0,2015,277.0,65.0,29.0,61.0,70.5,484,0.0,2.0,0.2,0.4,-0.8,0.4,0.4,1026643.0
Carl Pettersson,106.0,59.0,2015,287.0,63.0,28.0,62.0,70.5,723,0.0,3.0,0.2,0.2,-0.2,-0.0,-0.2,1186763.0
Hunter Mahan,88.0,56.0,2015,292.0,65.0,28.5,59.5,71.0,648,0.0,3.0,0.2,0.0,-0.2,-0.4,-0.0,1617973.0
Jeff Overton,94.0,56.0,2015,282.0,65.0,28.5,58.5,70.5,458,0.0,None,-0.0,0.0,-0.2,-0.0,-0.2,561614.0
Luke Guthrie,84.0,56.0,2015,282.0,63.0,28.5,57.5,71.0,373,0.0,None,-0.0,-0.2,-0.4,-0.0,-0.0,575150.0
Tom Hoge,83.0,56.0,2015,292.0,66.0,28.5,58.5,70.5,441,0.0,2.0,-0.0,0.4,-0.0,0.4,-0.2,690319.0
Martin Laird,77.0,56.0,2015,297.0,66.0,29.0,60.0,70.5,628,0.0,3.0,-0.0,0.2,-0.2,0.2,-0.2,1124988.0
Harris English,105.0,56.0,2015,297.0,67.0,28.5,61.5,70.0,932,0.0,3.0,0.4,0.6,-0.0,0.2,-0.0,1971687.0
Justin Thomas,106.0,56.0,2015,302.0,68.0,28.5,61.5,70.0,"1,007",0.0,7.0,-0.0,0.8,0.2,0.2,-0.0,2278564.0
Michael Thompson,83.0,56.0,2015,287.0,65.0,29.0,55.0,71.0,378,0.0,None,-0.0,-0.2,-0.2,-0.4,-0.0,599835.0
Byron Smith,59.0,56.0,2015,287.0,68.0,29.5,54.0,71.5,96,0.0,None,-0.6,-1.0,-0.2,-0.2,-0.2,153930.0
Andres Gonzales,90.0,56.0,2015,292.0,66.0,28.5,55.5,71.0,531,0.0,3.0,-0.0,-0.6,-0.4,-0.4,-0.0,925335.0
Charley Hoffman,97.0,56.0,2015,297.0,66.0,28.5,58.5,70.5,"1,512",1.0,6.0,-0.0,0.2,0.4,-0.0,-0.4,4041089.0
Scott Stallings,60.0,56.0,2015,287.0,65.0,29.0,54.0,71.5,447,0.0,None,-0.4,-0.6,-0.2,-0.2,-0.2,919619.0
Jim Renner,68.0,56.0,2015,282.0,65.0,30.0,54.5,72.0,63,0.0,None,-1.0,-1.6,-0.6,-0.0,-0.2,90668.0
Stewart Cink,77.0,56.0,2015,292.0,72.0,30.0,58.0,70.5,494,0.0,None,-0.0,0.4,-0.0,0.4,-0.4,694655.0
Brooks Koepka,84.0,56.0,2015,307.0,69.0,29.0,56.5,69.5,"1,544",1.0,8.0,0.4,1.0,0.4,0.2,-0.0,3571900.0
Patrick Rodgers,57.0,56.0,2015,307.0,66.0,28.5,56.0,70.5,None,0.0,None,-0.2,0.0,0.6,-0.6,-0.2,0.0
Chesson Hadley,101.0,56.0,2015,287.0,63.0,28.5,57.5,71.5,626,0.0,3.0,-0.0,-0.4,-0.2,-0.4,-0.4,1135529.0
Martin Flores,95.0,56.0,2015,292.0,68.0,29.5,58.5,70.5,345,0.0,None,-0.4,0.0,0.2,-0.2,-0.0,449274.0
Ernie Els,57.0,56.0,2015,287.0,64.0,29.5,56.5,71.5,233,0.0,None,-0.8,-0.8,-0.4,-0.0,-0.0,453579.0
Robert Garrigus,70.0,56.0,2015,297.0,63.0,29.0,53.0,71.5,226,0.0,None,-0.8,-1.0,0.2,-0.4,-0.4,253699.0
Retief Goosen,81.0,56.0,2015,292.0,62.0,29.0,59.0,71.5,519,0.0,3.0,-0.0,-0.4,-0.4,-0.2,-0.2,921830.0
Ryan Palmer,80.0,56.0,2015,302.0,66.0,29.0,60.5,70.0,817,0.0,4.0,-0.0,0.8,0.2,0.4,-0.2,1974523.0
Bubba Watson,71.0,56.0,2015,312.0,69.0,28.5,61.5,69.0,"2,407",2.0,7.0,0.2,2.0,1.0,0.6,-0.2,6876797.0
Max Homa,78.0,56.0,2015,292.0,62.0,28.5,59.0,71.5,278,0.0,None,-0.2,-0.8,-0.0,-0.6,-0.4,380339.0
Jason Kokrak,88.0,56.0,2015,302.0,67.0,28.5,58.0,70.5,614,0.0,2.0,-0.2,0.2,0.4,-0.2,-0.2,1033489.0
Ryo Ishikawa,90.0,56.0,2015,287.0,66.0,28.5,55.0,71.0,458,0.0,2.0,-0.2,-0.2,-0.6,0.4,-0.0,851044.0
D.A. Points,72.0,56.0,2015,277.0,64.0,29.0,59.5,71.5,244,0.0,None,-0.2,-0.6,-1.0,0.2,-0.0,390607.0
Gary Woodland,81.0,56.0,2015,302.0,66.0,29.5,56.5,70.5,"1,037",0.0,4.0,-0.0,0.0,-0.0,0.2,-0.4,2605083.0
Nick Taylor,91.0,56.0,2015,292.0,64.0,28.5,58.0,71.5,549,1.0,None,-0.0,-0.4,-0.2,-0.4,-0.2,1072360.0
Jhonattan Vegas,90.0,56.0,2015,297.0,65.0,29.0,59.0,71.0,353,0.0,None,-0.0,-0.4,-0.0,-0.4,-0.4,446345.0
Phil Mickelson,70.0,53.0,2015,297.0,61.0,28.0,59.0,70.5,849,0.0,3.0,0.2,0.4,-0.0,-0.0,0.2,2154200.0
Jason Day,75.0,53.0,2015,312.0,70.0,28.0,65.0,69.0,"2,459",3.0,8.0,0.4,2.0,0.6,0.4,0.2,9403330.0
Ángel Cabrera,53.0,53.0,2015,297.0,64.0,29.5,50.0,71.5,208,0.0,None,-0.6,-0.8,-0.0,0.2,-0.6,381942.0
Eric Axley,57.0,53.0,2015,282.0,61.0,28.5,60.5,71.5,152,0.0,None,-0.0,-1.0,-0.6,-0.4,-0.2,170687.0
Dustin Johnson,75.0,53.0,2015,None,67.0,28.0,57.5,69.5,"1,718",1.0,8.0,-0.0,1.4,0.8,0.4,-0.4,5509467.0
Jonathan Randolph,72.0,53.0,2015,287.0,64.0,29.0,60.5,71.5,209,0.0,None,-0.0,-0.8,-0.6,-0.4,-0.4,256066.0
Marc Leishman,74.0,53.0,2015,292.0,65.0,28.5,56.5,70.5,854,0.0,4.0,-0.2,0.2,-0.0,-0.0,-0.0,1762267.0
Andrew Putnam,68.0,53.0,2015,277.0,59.0,28.0,56.5,72.0,192,0.0,None,0.4,-1.0,-1.6,-0.2,-0.0,282879.0
Seung-Yul Noh,65.0,53.0,2015,292.0,65.0,29.0,54.5,71.0,432,0.0,None,-0.0,-0.2,-0.6,-0.0,-0.0,711609.0
Morgan Hoffmann,85.0,53.0,2015,292.0,61.0,28.0,59.0,70.5,627,0.0,2.0,0.2,0.0,-0.2,-0.4,0.2,1111240.0
Patrick Reed,103.0,53.0,2015,292.0,64.0,28.0,61.5,70.0,"1,593",1.0,3.0,0.2,0.8,-0.2,0.2,0.2,3590566.0
Tony Finau,106.0,53.0,2015,307.0,67.0,29.0,56.0,70.0,985,0.0,5.0,-0.2,0.6,0.2,0.2,-0.0,2095186.0
Camilo Villegas,83.0,53.0,2015,292.0,63.0,28.5,59.0,71.0,467,0.0,None,-0.0,0.0,-0.4,-0.0,-0.0,718497.0
Ricky Barnes,82.0,53.0,2015,282.0,60.0,28.0,60.0,71.5,347,0.0,None,-0.0,-0.4,-1.0,-0.2,0.2,614455.0
J.B. Holmes,89.0,53.0,2015,307.0,63.0,28.0,59.0,70.5,"1,484",1.0,5.0,-0.2,0.8,0.4,0.2,0.2,4037430.0
Steven Bowditch,103.0,53.0,2015,302.0,63.0,28.0,65.0,70.5,"1,287",1.0,2.0,-0.0,0.2,-0.2,-0.0,0.2,3075410.0
Tyrone Van Aswegen,58.0,53.0,2015,282.0,66.0,29.0,58.0,71.5,142,0.0,None,-0.2,-0.6,-1.2,0.4,-0.0,168234.0
Andres Romero,69.0,50.0,2015,292.0,61.0,28.5,56.5,71.0,312,0.0,2.0,-0.0,-0.4,-0.4,-0.4,-0.2,617253.0
Charles Howell III,105.0,50.0,2015,302.0,68.0,29.5,56.0,70.5,692,0.0,3.0,-0.4,0.2,0.2,-0.0,-0.0,1257361.0
Jimmy Walker,89.0,50.0,2015,297.0,66.0,28.5,57.5,70.0,"2,014",2.0,6.0,0.6,0.8,-0.2,0.2,-0.0,4521350.0
Padraig Harrington,60.0,50.0,2015,287.0,61.0,29.0,57.0,71.5,610,1.0,None,-0.6,-0.8,-0.6,-0.2,0.2,1330852.0
Derek Fathauer,81.0,50.0,2015,287.0,61.0,28.0,57.0,71.0,263,0.0,None,0.2,-0.2,-0.6,-0.2,-0.0,482023.0
Matt Every,73.0,50.0,2015,282.0,58.0,28.5,55.5,72.0,727,1.0,None,-0.0,-1.0,-1.0,-0.2,-0.2,1521816.0
Aaron Baddeley,76.0,50.0,2015,292.0,62.0,28.0,61.0,71.0,336,0.0,None,0.6,-0.4,-0.6,-0.8,0.2,439925.0
David Toms,64.0,None,2014,272.0,68.0,29.0,61.5,70.0,498,0.0,2.0,-0.0,0.4,-0.0,0.2,-0.0,801355.0
Tim Clark,75.0,None,2014,272.0,64.0,28.5,59.0,70.5,"1,111",1.0,3.0,-0.0,0.0,-0.4,0.2,-0.0,2066344.0
Justin Hicks,103.0,71.0,2014,282.0,71.0,30.0,54.5,70.5,923,0.0,3.0,-0.0,0.0,0.4,-0.0,-0.8,1544061.0
Jim Furyk,84.0,71.0,2014,277.0,68.0,28.5,69.0,69.0,"1,851",0.0,8.0,-0.0,1.6,-0.0,1.0,0.4,5987395.0
Heath Slocum,71.0,71.0,2014,277.0,67.0,29.5,61.5,70.5,419,0.0,None,-0.2,0.2,0.2,-0.0,-0.0,566167.0
Zach Johnson,97.0,68.0,2014,282.0,67.0,28.5,60.5,70.0,"1,552",1.0,5.0,-0.0,0.8,-0.0,0.4,-0.0,3353417.0
Billy Hurley III,86.0,68.0,2014,272.0,65.0,29.0,61.0,70.5,630,0.0,4.0,-0.0,0.2,-0.2,0.2,-0.0,1145299.0
Ken Duke,80.0,68.0,2014,272.0,67.0,29.5,57.0,71.0,305,0.0,None,-0.6,-0.2,-0.2,0.2,-0.2,455589.0
Ryan Moore,86.0,68.0,2014,282.0,67.0,29.0,57.5,70.0,"1,429",1.0,7.0,-0.0,0.8,0.2,0.4,-0.0,3098263.0
Boo Weekley,73.0,68.0,2014,287.0,68.0,30.5,53.0,71.0,496,0.0,None,-1.2,-0.4,0.6,-0.0,-0.0,832673.0
